mu sigma
3.798594321403173 4.2014468272463805
3.5267106543311177 3.9156089769634335
3.0102859257714325 3.7658716123979223
2.469103553833069 3.8786123303087963
2.8874755115540407 3.7705511615690517
2.612226750750339 3.8227837151641157
2.5924013427139907 4.953636571842565
2.3707259228529685 4.851285786718698
2.3147751507169443 4.810828579864106
2.2845996063653997 4.010888383208145
3.469876724804735 3.8914813108890023
2.1812727992817864 4.670274646358922
2.6492295861632114 4.965080004523072
2.2983479565084655 4.793237937582771
2.1009670117250243 4.4744425987072605
2.3059051621125914 3.995229707821943
3.054289381244439 3.777672307256616
3.3974506276169807 3.861405985018749
2.1479880020955715 4.200012772863967
2.1409053426348184 4.568704505914457
2.4685571248100517 3.8952389306655792
2.9302369567829336 4.991522434416018
2.145603653924529 4.575355359045114
3.6052472349645854 3.9962675205279483
2.8265226343823464 3.7898577772528577
3.604125098759628 3.9984415293706514
2.9312050852062477 3.7837980656627153
2.183337921030234 4.162102993110771
3.4067982510877144 3.8785610316118735
2.4457866114851976 3.91668646437322
2.1651737052507323 4.201572756600677
3.7285744922902686 4.144339816745022
3.255174275844796 3.824874708657025
3.6367995452008244 4.0337355807240165
2.2576633093734193 4.070540675642574
2.8283743849992873 4.970435292326998
3.298726414660614 3.841305367813592
3.17301996785461 3.810060479865374
2.327537368880971 4.773342310779336
2.442377317955377 3.9255738589782485
3.49587150854269 4.841837498083228
3.592835947630612 4.003172252880051
3.248943384588768 3.832108973677148
2.600467243233681 3.8575355290796343
3.5442059164258595 3.9745184854400364
3.7857783531798255 4.390706369856191
3.7623858149911866 4.524185581525375
2.265436196120799 4.084586864863815
3.724247753786432 4.6019973611801746
3.78015293297279 4.407722207473384
3.184889319211732 4.9374704649912955
3.7714377099069543 4.3189211770955325
2.14979897767823 4.4112662939910035
2.900853494437824 3.8051856281551153
3.752916250961516 4.515477820177132
2.299536395026348 4.060174126610226
3.166377111765872 4.933135122551667
2.1813558005238214 4.251180628676206
2.514141188600465 4.85005703452905
2.1640858329247763 4.401737667461727
2.9757880663115697 4.942699506144639
3.2794076030622965 3.8594939028770208
2.1731195426014054 4.313378777205818
2.5643204646934596 3.8920791553329352
2.355728016592769 4.02029836154525
3.4078050870837404 4.844896777296692
2.2134344087020863 4.2039001568139875
3.2387085838946312 4.9038347345495055
3.72740560749638 4.237339904752217
2.737669156988056 3.8388683664071532
3.5485788810025483 4.755931448946624
3.222886446374376 4.90384641863349
2.486586779355188 3.9350883789849425
3.3885126029754744 4.84856741192914
2.1755647567701626 4.370026700158919
2.6232045681189717 4.878997497800415
3.4155306014855453 4.82879198444924
3.581463981024984 4.7167553302333305
3.4769019884947947 3.965531661411541
2.8195976532514138 3.832998315647101
3.7380764057156544 4.342977761799702
3.1625967715932752 4.905537380596362
2.2976813775083356 4.663700567021375
3.7388335016301895 4.368182652181342
3.1056557799398266 3.834268115447988
3.6738433190948445 4.1650265360876055
2.3116939760486956 4.085571053329302
3.334916651282236 3.895319179616472
2.8556047025057696 4.914505448713151
2.6986102476821947 4.887061776951729
3.0500982446565694 4.913030199402491
2.647088608641372 3.8785466625930782
3.338129863788117 3.9022590125264403
2.3105924874170696 4.0979249873132515
3.407261086048466 3.934935026534597
2.878549948342496 3.834873706497788
2.2029803478738774 4.348899067299576
3.6439954983756895 4.140360089657278
3.6473119695118204 4.614668070507279
2.7069160476561116 4.878805518783781
3.322240219090533 3.899091882236246
3.7183491627038627 4.434779202910752
3.568204261198477 4.054012983014645
3.2753324187914576 4.861198239899412
3.309316207653806 4.848683241277211
3.650856439493418 4.600917780484401
3.0452895228275683 3.838874005842543
2.8440570011937676 3.842833176237448
3.1400279072275827 3.851536452890962
2.878396844595972 3.840585548160054
3.377316879630018 3.928691360212433
2.424780962383384 4.745771125509721
2.3427073123271733 4.0785013686969815
3.0324292207807626 4.898906456330556
2.217239866409857 4.430345787644378
3.710661168618352 4.41125000947157
2.3340727267892936 4.663049963990393
2.6346392730542156 3.895909341064717
3.6180844674170163 4.631632858601725
2.2240445946715934 4.308344007070574
2.5236188506768396 3.946056945576831
3.6942244796954204 4.4826489242781165
3.089398750856945 3.8494543987641583
2.397802543640922 4.033356067292575
3.7056625351057138 4.405933382589903
2.7766929763629733 3.8599227110779424
3.150941778001214 3.860907003065716
3.3486038723502762 4.819238387053603
2.222550999443265 4.374024491136094
2.6367313227690197 3.899909142241752
3.7011050504810283 4.336242496651458
3.6241819565860065 4.141079675369198
3.6910745336580257 4.470071272468245
3.517901770807872 4.028539684522572
3.566932722618327 4.675497726635056
